,model,dataset,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,roc_auc_mean,roc_auc_std,TN,FP,FN,TP,model_parameters,diagnostic_odds_ratio
0,LR,train,78.8,6.200716804441959,84.35757575757576,5.114400437659793,82.48405953949431,7.276335216020491,180,38,49,197,"{""C"": 1.0, ""penalty"": ""l1"", ""solver"": ""liblinear""}",19.044038668098818
1,LR,test,78.64077669902912,,70.10309278350515,,82.68441597437695,,68,29,22,81,"{""C"": 1.0, ""penalty"": ""l1"", ""solver"": ""liblinear""}",8.633228840125392
2,LR,validation,97.5574712643678,,43.845534995977474,,80.00680246160104,,545,698,68,2716,"{""C"": 1.0, ""penalty"": ""l1"", ""solver"": ""liblinear""}",31.18616214394067
3,LR,mic,100.0,,14.285714285714285,,68.0,,1,6,0,50,"{""C"": 1.0, ""penalty"": ""l1"", ""solver"": ""liblinear""}",inf
4,NN,train,78.91666666666667,5.147949969540195,83.68279220779222,5.282488096528436,81.76002837741967,7.781498600544456,218,0,0,246,"{""activation"": ""logistic"", ""alpha"": 0.01, ""hidden_layer_sizes"": [100, 50, 10], ""max_iter"": 400, ""solver"": ""lbfgs""}",inf
5,NN,test,76.69902912621359,,67.0103092783505,,79.8618756881193,,65,32,24,79,"{""activation"": ""logistic"", ""alpha"": 0.01, ""hidden_layer_sizes"": [100, 50, 10], ""max_iter"": 400, ""solver"": ""lbfgs""}",6.686197916666667
6,NN,validation,94.75574712643679,,48.83346741753821,,77.07989453583747,,607,636,146,2638,"{""activation"": ""logistic"", ""alpha"": 0.01, ""hidden_layer_sizes"": [100, 50, 10], ""max_iter"": 400, ""solver"": ""lbfgs""}",17.24461531834238
7,NN,mic,96.0,,28.57142857142857,,69.71428571428571,,2,5,2,48,"{""activation"": ""logistic"", ""alpha"": 0.01, ""hidden_layer_sizes"": [100, 50, 10], ""max_iter"": 400, ""solver"": ""lbfgs""}",9.6
8,XB,train,79.21666666666667,5.468114645632238,85.7819264069264,4.776355441100672,83.50283267457179,7.880219607918064,192,26,43,203,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 100, ""subsample"": 0.8}",34.86225402504472
9,XB,test,77.66990291262135,,75.25773195876289,,82.76448803923532,,73,24,23,80,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 100, ""subsample"": 0.8}",10.579710144927537
10,XB,validation,97.41379310344827,,44.32823813354787,,80.77521476590746,,551,692,72,2712,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 100, ""subsample"": 0.8}",29.991811175337187
11,XB,mic,100.0,,14.285714285714285,,66.0,,1,6,0,50,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 100, ""subsample"": 0.8}",inf
